input_smiles,linker,output_smiles
N1C(=O)CC(C)(c2cccc(*)c2)CC1(=O)|CC1CCCN(C*)C1,C(c1ccc2c(c1)c([*])n[nH]2)[*],CC1CCCN(CCc2ccc3[nH]nc(-c4cccc(C5(C)CC(=O)NC(=O)C5)c4)c3c2)C1
N1C(=O)CC(C)(c2cccc(*)c2)CC1(=O)|CC1CCCN(C*)C1,C(=O)(N)c1c(N[*])nn(C2(CC#N)CCC([*])CC2)c1,CC1CCCN(CC2CCC(CC#N)(n3cc(C(N)=O)c(Nc4cccc(C5(C)CC(=O)NC(=O)C5)c4)n3)CC2)C1
N1C(=O)CC(C)(c2cccc(*)c2)CC1(=O)|CC1CCCN(C*)C1,c1cc(Nc2nc([*])c(C)cn2)ccc1[*],Cc1cnc(Nc2ccc(CN3CCCC(C)C3)cc2)nc1-c1cccc(C2(C)CC(=O)NC(=O)C2)c1
N1C(=O)CC(C)(c2cccc(*)c2)CC1(=O)|CC1CCCN(C*)C1,c1([*])nc(-c2ccc([*])cc2)co1,CC1CCCN(Cc2ccc(-c3coc(-c4cccc(C5(C)CC(=O)NC(=O)C5)c4)n3)cc2)C1
N1C(=O)CC(C)(c2cccc(*)c2)CC1(=O)|CC1CCCN(C*)C1,C1Cc2c(nc(N[*])nc2)-c2cc(C[*])ccc21,CC1CCCN(CCc2ccc3c(c2)-c2nc(Nc4cccc(C5(C)CC(=O)NC(=O)C5)c4)ncc2CC3)C1
N1C(=O)CC(C)(c2cccc(*)c2)CC1(=O)|CC1CCCN(C*)C1,C1Cc2c(ccc([*])c2)C(=O)N1c1c2c(cc(OC[*])c(OC)c2)ncn1,COc1cc2c(N3CCc4cc(-c5cccc(C6(C)CC(=O)NC(=O)C6)c5)ccc4C3=O)ncnc2cc1OCCN1CCCC(C)C1
N1C(=O)CC(C)(c2cccc(*)c2)CC1(=O)|CC1CCCN(C*)C1,c1c2c(c(N[*])ncn2)cc(OC)c1O[*],COc1cc2c(Nc3cccc(C4(C)CC(=O)NC(=O)C4)c3)ncnc2cc1OCN1CCCC(C)C1
N1C(=O)CC(C)(c2cccc(*)c2)CC1(=O)|CC1CCCN(C*)C1,C(F)(c1cc(-c2ccnc(N[*])n2)ccc1[*])[*],"INVALID_LINKER(wildcards=3, expected 2)"
N1C(=O)CC(C)(c2cccc(*)c2)CC1(=O)|CC1CCCN(C*)C1,c12c(c([*])ncn1)ccc(OCC[*])c2,CC1CCCN(CCCOc2ccc3c(-c4cccc(C5(C)CC(=O)NC(=O)C5)c4)ncnc3c2)C1
N1C(=O)CC(C)(c2cccc(*)c2)CC1(=O)|CC1CCCN(C*)C1,n1c([*])c2cc(C)c(C(N3CCC([*])CC3)=O)cc2[nH]1,Cc1cc2c(-c3cccc(C4(C)CC(=O)NC(=O)C4)c3)n[nH]c2cc1C(=O)N1CCC(CN2CCCC(C)C2)CC1
