input_smiles,linker,output_smiles
*c1ccccc1|*c1ccccc1,[nH]1c2c(cccc2)c2nc(CSCCc3nnc(CCCCn4c(C)[n+](C[*])c5c(=O)cc(C6SCCC6)nc34)sc4)nn1nc([*])c2=O,INVALID_INPUT_SMILES
*c1ccccc1|*c1ccccc1,c12c(nnn1C[*])n1c(=N)c([*])nn3c1nc(-c1ccco4nn31)n2,INVALID_INPUT_SMILES
*c1ccccc1|*c1ccccc1,c1c2c(ccc1)C1=CCN(CC[*])C(=O)C1N2c1nn(C(C)[*])c2ccccc12,CC(c1ccccc1)n1nc(N2c3ccccc3C3=CCN(CCc4ccccc4)C(=O)C32)c2ccccc21
*c1ccccc1|*c1ccccc1,s1c2ccccc2n2c(NC(=O)C[*])nnc12C(C)([*])C,INVALID_INPUT_SMILES
*c1ccccc1|*c1ccccc1,c1ccc(CSc2oc([*])nn2)cc1[*],c1ccc(-c2cccc(CSc3nnc(-c4ccccc4)o3)c2)cc1
*c1ccccc1|*c1ccccc1,C1N([*])CCN(C(c2c(=O)c3c(cc([*])cc3)oc2)=S)CC1,O=c1c(C(=S)N2CCCN(c3ccccc3)CC2)coc2cc(-c3ccccc3)ccc12
*c1ccccc1|*c1ccccc1,c12n(nc([*])cc2)c(C)c(C(NCCCOC(c2cscc2[*])=O)=O)c1,Cc1c(C(=O)NCCCOC(=O)c2cscc2-c2ccccc2)cc2ccc(-c3ccccc3)nn12
*c1ccccc1|*c1ccccc1,c1c(O)c(OC(=O)CSc2[n+](C)c(C)c3c(c2)n(CC(=O)NCC[*])cc3C=C(C)c2ccccc2)ccc1[*],CC(=Cc1cn(CC(=O)NCCc2ccccc2)c2cc(SCC(=O)Oc3ccc(-c4ccccc4)cc3O)[n+](C)c(C)c12)c1ccccc1
*c1ccccc1|*c1ccccc1,c1([*])n2c(nn1)CN(Cc1sc([*])nn1)CC2,c1ccc(-c2nnc(CN3CCn4c(nnc4-c4ccccc4)C3)s2)cc1
*c1ccccc1|*c1ccccc1,c1c([*])oc2c(CN(CCC[*])CC(=O)O)cccc2c1=O,O=C(O)CN(CCCc1ccccc1)Cc1cccc2c(=O)cc(-c3ccccc3)oc12
*c1ccccc1|*c1ccccc1,c1(C#N)n2c(c3c[n+](C[*])c(Br)cc1-3)cc(N[*])n2,INVALID_INPUT_SMILES
*c1ccccc1|*c1ccccc1,C1NCCCC2N(Cc3cn(C[*])nn3)c3c(ccc4c3ccc[n+]4C[*])C1O2,c1ccc(Cn2cc(CN3c4c(ccc5c4ccc[n+]5Cc4ccccc4)C4CNCCCC3O4)nn2)cc1
*c1ccccc1|*c1ccccc1,o1c(-c2ccc([*])cc2)nnc1[*],c1ccc(-c2ccc(-c3nnc(-c4ccccc4)o3)cc2)cc1
*c1ccccc1|*c1ccccc1,C(CN1CCC(Nc2c3ccccc3nc([*])n2)CC1)CN1CC(C[*])CC1,c1ccc(CC2CCN(CCCN3CCC(Nc4nc(-c5ccccc5)nc5ccccc45)CC3)C2)cc1
*c1ccccc1|*c1ccccc1,c1(=O)n(C)c(N[*])nc2c1ncn2CC[*],Cn1c(Nc2ccccc2)nc2c(ncn2CCc2ccccc2)c1=O
*c1ccccc1|*c1ccccc1,CCc1oc([*])nc1CN1CCC(C#N)(n2cc(C(=O)N)c(N[*])n2)CC1,CCc1oc(-c2ccccc2)nc1CN1CCC(C#N)(n2cc(C(N)=O)c(Nc3ccccc3)n2)CC1
*c1ccccc1|*c1ccccc1,N1(C(=O)C2=C(c3c4c(nccc3N[*])[nH]c(-c4ccc([*])cc4)n4)C(C)CC2)CCOC1=O,INVALID_INPUT_SMILES
